,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
30,Iceland,134,+17,0.0,0.0,0.0,134,0.0,0.0
31,Hong Kong,132,+1,4.0,1.0,78.0,50,4.0,17.6
32,Portugal,112,+34,0.0,0.0,1.0,111,1.0,11.0
33,Iraq,101,+18,9.0,1.0,24.0,68,0.0,2.5
34,Kuwait,100,+20,0.0,0.0,5.0,95,4.0,23.4
35,Romania,95,+36,0.0,0.0,7.0,88,1.0,4.9
36,Egypt,93,+13,2.0,0.0,27.0,64,0.0,0.9
37,Ireland,90,+20,1.0,0.0,0.0,89,6.0,18.2
38,Saudi Arabia,86,+41,0.0,0.0,1.0,85,0.0,2.5
39,UAE,85,0,0.0,0.0,20.0,65,2.0,8.6
40,India,82,+8,2.0,1.0,10.0,70,0.0,0.1
41,San Marino,80,+8,5.0,0.0,2.0,73,3.0,0.0
42,Estonia,79,+52,0.0,0.0,0.0,79,0.0,59.6
43,Lebanon,77,+9,3.0,0.0,1.0,73,3.0,11.3
44,Thailand,75,+5,1.0,0.0,35.0,39,1.0,1.1
45,Indonesia,69,+35,4.0,3.0,5.0,60,0.0,0.3
46,Poland,68,+17,2.0,1.0,0.0,66,3.0,1.8
47,Philippines,64,+12,5.0,0.0,2.0,57,1.0,0.6
48,Taiwan,50,+1,1.0,0.0,20.0,29,0.0,2.1
49,Russia,45,+11,0.0,0.0,8.0,37,0.0,0.3
50,Vietnam,44,0,0.0,0.0,16.0,28,0.0,0.5
51,Chile,43,+10,0.0,0.0,0.0,43,0.0,2.2
52,Luxembourg,38,+12,1.0,1.0,0.0,37,0.0,0.0
53,Peru,38,+16,0.0,0.0,0.0,38,0.0,1.2
54,Brunei,37,+12,0.0,0.0,0.0,37,0.0,0.0
55,Serbia,35,+11,0.0,0.0,0.0,35,1.0,4.0
56,Palestine,35,+4,0.0,0.0,0.0,35,0.0,6.9
57,Argentina,34,+3,2.0,1.0,0.0,32,1.0,0.8
58,Albania,33,+10,1.0,0.0,0.0,32,0.0,11.5
59,Croatia,32,+5,0.0,0.0,1.0,31,0.0,7.8
60,Slovakia,32,+11,0.0,0.0,0.0,32,0.0,5.9
61,Bulgaria,31,+8,1.0,0.0,0.0,30,0.0,4.5
62,Pakistan,28,+7,0.0,0.0,2.0,26,0.0,0.1
63,Panama,27,+13,1.0,0.0,0.0,26,0.0,6.3
64,Belarus,27,+6,0.0,0.0,3.0,24,0.0,2.9
65,Algeria,26,0,2.0,0.0,10.0,14,0.0,0.6
66,Georgia,25,0,0.0,0.0,0.0,25,1.0,6.3
67,South Africa,24,+8,0.0,0.0,0.0,24,0.0,0.4
68,Ecuador,23,+6,1.0,1.0,0.0,22,1.0,1.3
69,Costa Rica,23,0,0.0,0.0,0.0,23,1.0,4.5
70,Senegal,21,+11,0.0,0.0,2.0,19,0.0,1.3
71,Oman,19,+1,0.0,0.0,9.0,10,0.0,3.7
72,Hungary,19,+3,0.0,0.0,0.0,19,0.0,2.0
73,Bosnia and Herzegovina,18,+7,0.0,0.0,0.0,18,0.0,5.5
74,Latvia,17,+1,0.0,0.0,1.0,16,0.0,9.0
75,Tunisia,16,+3,0.0,0.0,0.0,16,2.0,1.4
76,Colombia,16,+7,0.0,0.0,0.0,16,0.0,0.3
77,Azerbaijan,15,0,1.0,0.0,3.0,11,0.0,1.5
78,Mexico,15,+3,0.0,0.0,4.0,11,1.0,0.1
79,North Macedonia,14,+5,0.0,0.0,1.0,13,0.0,6.7
80,Cyprus,14,+4,0.0,0.0,0.0,14,0.0,11.6
81,Malta,12,+3,0.0,0.0,1.0,11,0.0,0.0
82,Macao,10,0,0.0,0.0,10.0,0,0.0,0.0
83,Bolivia,10,+7,0.0,0.0,0.0,10,0.0,0.9
84,Maldives,9,+1,0.0,0.0,0.0,9,0.0,0.0
85,Armenia,8,+2,0.0,0.0,0.0,8,0.0,2.7
86,Jamaica,8,+6,0.0,0.0,0.0,8,0.0,2.7
87,Morocco,7,+1,1.0,0.0,1.0,5,1.0,0.2
88,Afghanistan,7,0,0.0,0.0,0.0,7,0.0,0.2
89,Cambodia,7,+2,0.0,0.0,1.0,6,0.0,0.4
90,Lithuania,6,+3,0.0,0.0,0.0,6,0.0,2.2
91,New Zealand,6,+1,0.0,0.0,0.0,6,0.0,1.2
92,Sri Lanka,6,+3,0.0,0.0,1.0,5,0.0,0.3
93,French Guiana,6,0,0.0,0.0,0.0,6,0.0,0.0
94,Moldova,6,0,0.0,0.0,0.0,6,0.0,1.5
95,Paraguay,6,0,0.0,0.0,0.0,6,1.0,0.8
96,Dominican Republic,5,0,0.0,0.0,0.0,5,0.0,0.5
97,Réunion,5,+1,0.0,0.0,0.0,5,0.0,0.0
98,Turkey,5,+4,0.0,0.0,0.0,5,0.0,0.1
99,Cuba,4,+1,0.0,0.0,0.0,4,0.0,0.4
100,Kazakhstan,4,+4,0.0,0.0,0.0,4,0.0,0.2
101,Liechtenstein,4,0,0.0,0.0,0.0,4,0.0,0.0
102,Uruguay,4,+4,0.0,0.0,0.0,4,0.0,1.2
103,Ukraine,3,0,1.0,1.0,0.0,2,0.0,0.1
104,Bangladesh,3,0,0.0,0.0,1.0,2,0.0,0.0
105,Channel Islands,3,0,0.0,0.0,0.0,3,0.0,0.0
106,Faeroe Islands,3,+1,0.0,0.0,0.0,3,0.0,0.0
107,French Polynesia,3,+2,0.0,0.0,0.0,3,0.0,0.0
108,Martinique,3,0,0.0,0.0,0.0,3,0.0,0.0
109,Puerto Rico,3,+3,0.0,0.0,0.0,3,0.0,1.0
110,Monaco,2,0,0.0,0.0,0.0,2,0.0,0.0
111,Nigeria,2,0,0.0,0.0,0.0,2,0.0,0.0
112,Aruba,2,+2,0.0,0.0,0.0,2,0.0,0.0
113,Burkina Faso,2,0,0.0,0.0,0.0,2,0.0,0.1
114,Cameroon,2,0,0.0,0.0,0.0,2,0.0,0.1
115,DRC,2,+1,0.0,0.0,0.0,2,0.0,0.0
116,Ghana,2,0,0.0,0.0,0.0,2,0.0,0.1
117,Honduras,2,0,0.0,0.0,0.0,2,0.0,0.2
118,Saint Martin,2,0,0.0,0.0,0.0,2,0.0,0.0
119,Venezuela,2,+2,0.0,0.0,0.0,2,0.0,0.1
120,Guyana,1,0,1.0,0.0,0.0,0,0.0,0.0
121,Sudan,1,+1,1.0,1.0,0.0,0,0.0,0.0
122,Andorra,1,0,0.0,0.0,0.0,1,0.0,0.0
123,Jordan,1,0,0.0,0.0,1.0,0,0.0,0.1
124,Nepal,1,0,0.0,0.0,1.0,0,0.0,0.0
125,Antigua and Barbuda,1,+1,0.0,0.0,0.0,1,0.0,0.0
126,Bhutan,1,0,0.0,0.0,0.0,1,0.0,0.0
127,Cayman Islands,1,+1,0.0,0.0,0.0,1,0.0,0.0
128,Ivory Coast,1,0,0.0,0.0,0.0,1,0.0,0.0
129,Curaçao,1,+1,0.0,0.0,0.0,1,0.0,0.0
130,Ethiopia,1,+1,0.0,0.0,0.0,1,0.0,0.0
131,Gabon,1,+1,0.0,0.0,0.0,1,0.0,0.4
132,Gibraltar,1,0,0.0,0.0,1.0,0,0.0,0.0
133,Guadeloupe,1,+1,0.0,0.0,0.0,1,0.0,0.0
134,Guatemala,1,+1,0.0,0.0,0.0,1,0.0,0.1
135,Guinea,1,+1,0.0,0.0,0.0,1,0.0,0.1
136,Vatican City,1,0,0.0,0.0,0.0,1,0.0,0.0
137,Kenya,1,+1,0.0,0.0,0.0,1,0.0,0.0
138,Mauritania,1,+1,0.0,0.0,0.0,1,0.0,0.2
139,Mongolia,1,0,0.0,0.0,0.0,1,0.0,0.3
140,St. Barth,1,0,0.0,0.0,0.0,1,0.0,0.0
141,Saint Lucia,1,+1,0.0,0.0,0.0,1,0.0,0.0
142,St. Vincent Grenadines,1,0,0.0,0.0,0.0,1,0.0,0.0
143,Suriname,1,+1,0.0,0.0,0.0,1,0.0,0.0
144,Togo,1,0,0.0,0.0,0.0,1,0.0,0.1
145,Trinidad and Tobago,1,0,0.0,0.0,0.0,1,0.0,0.7
